IS DIVISION,IS DIVISION,BIOSTAR-L2,2870,2,10.100.16.199,
IS DIVISION,UCT- IS ,BIOSTAR-L2,,118,10.105.4.106,
INTERNAL AUDIT,HEAD OFFICE (CBD Building),BIOSTAR,2443,3,10.100.18.99,
INTERNAL AUDIT,NEW OFFICE,BIOSTAR,2443,7,10.104.5.210,
HR,ADMIN SECTION (NON LABOUR),BIOSTAR,2517,6,10.103.5.51,
HR,DIR. OFFICE /LABOUR SEC,BIOSTAR,2517,8,10.103.5.52,
WELFARE DIVISION,HEAD OFFICE ,BIOSTAR,2893,4,10.104.4.43,
WELFARE DIVISION,KITCHEN,BIOSTAR,2831,5,10.104.5.50,
MEDIA DIVISION ,MEDIA (CBD BUILDING ),BIOSTAR,2799,171,10.100.18.199,
MEDICLE DIVISION ,MAIN OFFICE ,BIOSTAR,3051,9,10.103.5.110,
SECRETARIAT,"V/C OFFICE, MD OFFICE. LEAGAL CONSUL.",BIOSTAR,/2466/2727,74,10.101.4.69,
SECRETARIAT,HQ BUILDING ,BIOSTAR -L2,,75,10.100.16.99,
C & D ENGINEERING ,STRESS BED,BIOSTAR,2279,27,10.101.7.252,
MAHAPOLA,TRANING CENTER ,BIOSTAR-L2,,152,10.105.12.66,
LEAGAL DIVISION,LEAGALE DIVISION,BIOSTAR,2486,100,10.104.5.42,
LOGISTICS ,ADMIN -CANAL YARD,BIOSTAR,3268/2484,10,10.102.68.218,
LOGISTICS ,ADMIN -CANAL YARD,BIOSTAR,3268/2484,11,10.102.68.217,
LOGISTICS ,CFS Paliyagoda,BIOSTAR,,P1,,
LOGISTICS ,CFS Paliyagoda ,BIOSTAR,,P2,,
LOGISTICS ,CFS1,BIOSTAR,3268/2607,12,10.105.6.60,
LOGISTICS ,BQ-3 WAREHOUSE ,BIOSTAR-L2,3268/2484,13,10.101.32.63,
LOGISTICS ,BQ-3 WAREHOUSE ,BIOSTAR-L2,,13-A,10.101.5.151,
LOGISTICS ,BQ-3 WAREHOUSE ,BIOSTAR-L2,,13- B  ,10.101.6.14,
LOGISTICS ,CFS IV,BIOSTAR,3268/2484,14,10.102.5.45,
LOGISTICS ,CFS II/bonding,BIOSTAR,3268/2484,15,10.102.5.13,
LOGISTICS ,B.Q 3 (SK OFFICE) ,BIOSTAR-L2,,18,10.101.32.9,
LOGISTICS ,DIRECTOR OFFICE ,BIOSTAR L2,3268/2484,16,10.102.68.168,
CIVIL ENGINEERING,HOUSING,BIOSTAR,,17,10.105.4.62,
CIVIL ENGINEERING,BS (NORTH),BIOSTAR,,19,10.105.4.54,
